"company_name","summary","author_title","author_location","recommends_flag","outlook_flag","ceo_opinion_flag","main_text_description","pros_description","cons_description","advice_to_management_description","star_rating_overall","star_rating_work_life_balance","star_rating_culture_and_values","star_rating_career_opportunities","star_rating_comp_and_benefits","star_rating_senior_management","star_rating_review_date"
"gsk","Avoid if you are not willing to do unpaid OverTime","Current Employee - Intern","Singapore","Doesn't Recommend","Neutral Outlook","No Opinion of CEO","I have been working at GlaxoSmithKline full-time for less than a year","In house canteen with subsidized food.","Understaffed, therefore overworked during my internship.
Everyone seems to be very stressed and overworked, resulting in high tensions between colleagues, arguments were aplenty.","None",1.0,1.0,1.0,2.0,2.0,1.0,"Tue Mar 10 2020 20:05:55 GMT-0700 (Pacific Daylight Time)"
"gsk","Lacks knowledge","Current Employee - Supply Chain","Marietta, PA","None","None","None","I have been working at GlaxoSmithKline full-time","Vaccines industry is a growing market","Limited knowledge at the site","None",1.0,None,None,None,None,None,"Tue Mar 10 2020 03:05:35 GMT-0700 (Pacific Daylight Time)"
"gsk","Garbage in, garbage out","Current Employee - Senior Marketing Manager","Philadelphia, PA","Doesn't Recommend","Negative Outlook","No Opinion of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","Nice people for the most part and beautiful office. Good benefits.","Epitome of icky corporate culture at its worst. Fake, back-stabbing, leadership that act like sheep. Speak out against the grain and you risk being reprimanded or pushed out. The emphasis on transparency is complete and utter BS- people tiptoe around the truth. Unbelievably difficult to get information you need to get the job done at such an “innovative” organization. People are not open to change or doing things differently- everything is for optics. I have never worked with a more incompetent HR team, either. Totally siloed organization in a poor strategic position.","None",2.0,3.0,2.0,3.0,3.0,2.0,"Wed Feb 12 2020 20:53:48 GMT-0800 (Pacific Standard Time)"
"gsk","Have no idea","Current Employee - Pharmaceutical Sales Representative","Ho Chi Minh City","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for less than a year","Salary, manager line, collegues, work life balance","Management system is too complicated","None",5.0,5.0,5.0,5.0,5.0,5.0,"Fri Jan 31 2020 14:46:43 GMT-0800 (Pacific Standard Time)"
"gsk","Health  care","Current Employee - Production Chemist","Nashik","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I have been working at GlaxoSmithKline full-time for more than 10 years","If  you  badly need job","Salary package not  attractive enpugh","None",1.0,1.0,1.0,1.0,1.0,1.0,"Sat Mar 07 2020 22:00:35 GMT-0800 (Pacific Standard Time)"
"gsk","Good place to work","Current Employee - Risk Manager","Kuala Lumpur","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","1. Good salary
2. Work life balance","1. Not sure who to connect to for issues.
2. Accountability not clearly identified.","None",4.0,4.0,4.0,4.0,3.0,3.0,"Sat Feb 01 2020 07:56:41 GMT-0800 (Pacific Standard Time)"
"gsk","Good place to work","Current Employee - Risk Manager","Kuala Lumpur","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","1. Good salary
2. Work life balance","1. Not sure who to connect to for issues.
2. Accountability not clearly identified.","None",4.0,4.0,4.0,4.0,3.0,3.0,"Sat Feb 01 2020 07:56:41 GMT-0800 (Pacific Standard Time)"
"gsk","Good experience, great to be work there","Former Employee - Section In Charge Stability","None","None","None","None","I worked at GlaxoSmithKline full-time","Good knowledge, good team, flexibility","Overtime, multitasking, routine job, lack of staff","None",5.0,5.0,5.0,5.0,5.0,5.0,"Thu Jan 30 2020 11:53:37 GMT-0800 (Pacific Standard Time)"
"gsk","In charge of the Vaccines private and public business","Former Employee - Senior Director Marketing","Buenos Aires","Recommends","Positive Outlook","Approves of CEO","I worked at GlaxoSmithKline full-time for more than 10 years","Great R&amp;D, pipeline. Values based company.","Resilience in front of continuous structure changes","None",4.0,4.0,4.0,5.0,4.0,4.0,"Wed Jan 29 2020 07:24:23 GMT-0800 (Pacific Standard Time)"
"gsk","Value driven organization and traditional in approach","Former Employee - Human Resources Professional","None","Doesn't Recommend","Neutral Outlook","Approves of CEO","I worked at GlaxoSmithKline full-time for more than 3 years","Employee friendly policies and health services","Traditional processes and practices, too many changes happening at the same time","None",4.0,2.0,5.0,2.0,3.0,2.0,"Mon Jan 27 2020 13:50:06 GMT-0800 (Pacific Standard Time)"
"gsk","Research Scholar","Former Employee - Research Assistant Professor","Boston, MA","Doesn't Recommend","Neutral Outlook","No Opinion of CEO","I worked at GlaxoSmithKline full-time for more than a year","Good working environment, good people around","Poor pay and very poor retirement benifits","None",4.0,3.0,4.0,4.0,3.0,2.0,"Tue Jan 28 2020 04:55:59 GMT-0800 (Pacific Standard Time)"
"gsk","Global ERP SAP Service Manager","Current Employee - IT Service Manager","Petaling Jaya","Recommends","Neutral Outlook","No Opinion of CEO","I have been working at GlaxoSmithKline full-time for more than 8 years","Great benefits, culture and environment","Too many changes happening simultaneously","None",3.0,4.0,4.0,3.0,4.0,3.0,"Tue Feb 11 2020 02:47:25 GMT-0800 (Pacific Standard Time)"
"gsk","Toxic culture but improving","Former Employee - Director","Durham, NC","Doesn't Recommend","Neutral Outlook","No Opinion of CEO","I worked at GlaxoSmithKline full-time for more than 3 years","Fair compensation, open floor office setting","Culture was ill - talkers got promoted but doers were let go. Eventually little work is done. Unnecessary red tapes everywhere forcing people to work in silos. But I heard things are improving lately.","None",3.0,3.0,2.0,2.0,4.0,3.0,"Sat Feb 08 2020 05:27:00 GMT-0800 (Pacific Standard Time)"
"gsk","Good company to work","Former Employee - Sales Representative","None","None","None","None","I worked at GlaxoSmithKline full-time for more than a year","Good company culture, ethics and benefits.","too much bureaucracy and lack of managers view","None",3.0,None,None,None,None,None,"Mon Feb 10 2020 10:47:33 GMT-0800 (Pacific Standard Time)"
"gsk","General Manager","Former Employee - Anonymous Employee","None","Recommends","Positive Outlook","Approves of CEO","I worked at GlaxoSmithKline full-time for more than 10 years","Great company , good systems , and work life balance","Less international opportunities for Indian talent","None",4.0,5.0,5.0,4.0,5.0,3.0,"Sat Jan 25 2020 19:37:53 GMT-0800 (Pacific Standard Time)"
"gsk","Ethics have changed A LOT","Former Employee - Senior Technical Program Manager","None","Recommends","Neutral Outlook","Disapproves of CEO","I worked at GlaxoSmithKline full-time for more than 10 years","It's a good company, the people are really great and want to do their best.","Too much unneeded change.  Senior leadership have no pharmaceutical experience so don't understand the regulated industry.  Ethics have changed from a patient-focused industry to hawking consumer goods.","None",3.0,3.0,3.0,3.0,5.0,1.0,"Fri Feb 07 2020 08:05:31 GMT-0800 (Pacific Standard Time)"
"gsk","Great culture and good work life balance at Consumer Health division","None","None","Recommends","Positive Outlook","None","I have been working at GlaxoSmithKline  for more than 8 years","Great culture and good work life balance, great place to learn by doing","In early phases of e-com and digital transformation, restricted by pharma parent company","None",5.0,5.0,5.0,4.0,5.0,4.0,"Thu Jan 23 2020 02:53:54 GMT-0800 (Pacific Standard Time)"
"gsk","Not What It Used to Be...Total EEOC Rule Breaker","Current Employee - Senior Sales Representative","None","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I have been working at GlaxoSmithKline full-time for more than 8 years","Good Products is About All","Discrimination and Back Stabbing Out of Control","None",1.0,2.0,1.0,1.0,3.0,1.0,"Wed Feb 26 2020 17:01:03 GMT-0800 (Pacific Standard Time)"
"gsk","Work life balance","Former Employee - Anonymous Employee","None","Recommends","Positive Outlook","No Opinion of CEO","I worked at GlaxoSmithKline full-time","Structured processes,  Global footprint,  Research supporting organisation that allows for a good degree of Work-life balance","Due to the size of the organisation, sometimes the many governances involved may look to stifle the work.","None",4.0,5.0,5.0,3.0,3.0,3.0,"Thu Jan 23 2020 09:54:56 GMT-0800 (Pacific Standard Time)"
"gsk","Great career","Former Employee - Human Resources Manager","Research Triangle Park, NC","Recommends","Positive Outlook","No Opinion of CEO","I worked at GlaxoSmithKline full-time for more than 10 years","Competitive salary and benefits 
Great experience/exposure across businesses
Opportunities for training and continued education","With so much change in the organization, work responsibilities were mainly focused on restructuring/mergers/acquisitions","None",4.0,5.0,5.0,4.0,5.0,5.0,"Tue Jan 21 2020 07:53:22 GMT-0800 (Pacific Standard Time)"
"gsk","professional, encouraging","Current Employee - MBA","Thiruvananthapuram","None","None","None","I have been working at GlaxoSmithKline full-time for more than a year","staffs help freshers with professional approach","none of cons are required","None",4.0,None,None,None,None,None,"Tue Jan 21 2020 09:45:10 GMT-0800 (Pacific Standard Time)"
"gsk","Great place to work!","Former Employee - Administrative Assistant","Warren, NJ","Recommends","Neutral Outlook","Approves of CEO","I worked at GlaxoSmithKline full-time for more than 10 years","Opportunities for advancement.","Going through a joint venture re-org for next three years","None",4.0,5.0,4.0,4.0,5.0,3.0,"Mon Jan 20 2020 05:11:44 GMT-0800 (Pacific Standard Time)"
"gsk","Clueless Senior Leadership","Former Employee - Business Unit Director","None","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at GlaxoSmithKline full-time for more than 5 years","Good opportunities to get broad experience.","Toxic culture.  Senior Leadership doesn’t walk the talk about values.  Not focused on performance, no pipeline, and plenty of nepotism.  Salaries are well below industry average.","None",2.0,4.0,1.0,4.0,2.0,1.0,"Sat Feb 01 2020 07:43:12 GMT-0800 (Pacific Standard Time)"
"gsk","Growth for full potential","Current Employee - Regional Capital and Pragram Manager","Singapore","Recommends","Positive Outlook","None","I have been working at GlaxoSmithKline full-time for more than 10 years","Opportunity to constantly innovate and contribute to the society","Highly regulated environment demands high level of perseverance","None",5.0,4.0,5.0,5.0,5.0,5.0,"Sun Jan 19 2020 05:23:42 GMT-0800 (Pacific Standard Time)"
"gsk","The best company to work, learn and develop your Proffessional skills","Current Employee - Anonymous Employee","None","Recommends","Positive Outlook","None","I have been working at GlaxoSmithKline full-time for more than 8 years","Employee friendly, scope for learning, different channel experience.","Need to upgrade systems for better sales organisation.","None",5.0,5.0,5.0,5.0,3.0,4.0,"Thu Jan 16 2020 18:17:24 GMT-0800 (Pacific Standard Time)"
"gsk","HSE ENGINEER","Current Employee - Anonymous Employee","None","Recommends","Negative Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","there is alot of things to learn","pay very less as per expectations","None",2.0,2.0,5.0,3.0,2.0,2.0,"Sat Feb 01 2020 01:26:24 GMT-0800 (Pacific Standard Time)"
"gsk","HSE ENGINEER","Current Employee - Anonymous Employee","None","Recommends","Negative Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","there is alot of things to learn","pay very less as per expectations","None",2.0,2.0,5.0,3.0,2.0,2.0,"Sat Feb 01 2020 01:26:24 GMT-0800 (Pacific Standard Time)"
"gsk","Wasters","Former Employee - Cork Plant","Cork","Doesn't Recommend","Neutral Outlook","None","I worked at GlaxoSmithKline full-time for more than a year","Nice modern plant great location.","There are two types of employees those before the warning letter and those pots.
Some of the older staff are some of the laziest people I have ever encountered. They sit in roles over 20 years and doing their best to avoid work.  A say lots and nothing culture. Overpaid and useless. Operations spend more time on breaks then at work.","None",1.0,1.0,1.0,2.0,5.0,1.0,"Fri Feb 21 2020 07:12:38 GMT-0800 (Pacific Standard Time)"
"gsk","Overall a good place to work","Current Employee - Senior Investigator","None","None","None","None","I have been working at GlaxoSmithKline full-time for more than 3 years","Great culture and ability to work on many different projects","Pay is not as competitive. Top heavy.","None",4.0,None,None,None,None,None,"Wed Jan 15 2020 13:08:44 GMT-0800 (Pacific Standard Time)"
"gsk","Nice place to work","Current Employee - SAP Functional Consultant","Petaling Jaya","Recommends","Negative Outlook","Disapproves of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","Good salary
Nice and friendly culture","Frequent Re-org and restructuring  happens that could impact employees.","None",4.0,5.0,3.0,4.0,4.0,3.0,"Wed Jan 15 2020 23:43:58 GMT-0800 (Pacific Standard Time)"
"gsk","Good Benefits","Current Employee - Community Coordinator","King of Prussia, PA","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 5 years","The work is interesting.  Good work life balance","Accountability and decision making are poor across the company.   Some pockets of the company have malignant culture","None",4.0,5.0,4.0,4.0,3.0,3.0,"Thu Jan 16 2020 11:33:56 GMT-0800 (Pacific Standard Time)"
"gsk","Centralized position, covers several markets","Current Employee - Anonymous Employee","Poznań, Greater Poland","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 10 years","organizational culture, profitable, ideal place to work","work duration, benefits for overtime, bonuses","None",5.0,4.0,5.0,5.0,4.0,5.0,"Wed Jan 15 2020 08:31:19 GMT-0800 (Pacific Standard Time)"
"gsk","Manufacturing Operator","Former Employee - Manufacturing Operator","Mississauga, ON","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I worked at GlaxoSmithKline full-time for more than 10 years","Great people to work with for the most part.","Management listens to their favourites for updates on staff. Most of the time the favourites lie to management for their benefit. Management is too lazy to come on the floor to make their own opinions. Most managers do not know how to do their job or the job they are managing. They were put in this position because they are the favourites and they report on people behind their backs and don’t tell the truth when they are reporting.","None",3.0,1.0,1.0,1.0,3.0,1.0,"Wed Jan 29 2020 08:02:03 GMT-0800 (Pacific Standard Time)"
"gsk","Tesaro","Current Employee - Quality Executive","Kiev","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","Very honest company to whowhere - employees, patients and consumers","Did not found any of that during 4.5 years of working here. Great Company","None",5.0,5.0,5.0,5.0,5.0,5.0,"Tue Jan 14 2020 12:33:28 GMT-0800 (Pacific Standard Time)"
"gsk","nice place to work at this time","Current Employee - Scheduling Coordinator","Durham, NC","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 5 years","nice company to work for","too many changes taking place","None",4.0,2.0,4.0,4.0,4.0,3.0,"Tue Jan 14 2020 12:47:51 GMT-0800 (Pacific Standard Time)"
"gsk","Good company going through change","Current Employee - Anonymous Employee","None","Recommends","Neutral Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time","Good culture, great people, solid values","Decision making paralysis, lacking transparency, lacks innovation and comletely risk adverse","None",4.0,5.0,5.0,4.0,4.0,4.0,"Mon Jan 13 2020 10:24:34 GMT-0800 (Pacific Standard Time)"
"gsk","Tse at bokaro","Current Employee - Anonymous Employee","None","Recommends","Positive Outlook","None","I have been working at GlaxoSmithKline full-time","Make you confident and bold","Messing with your mind and yourself","None",3.0,None,None,None,None,None,"Thu Jan 23 2020 11:16:25 GMT-0800 (Pacific Standard Time)"
"gsk","Working as a sales rep","Current Employee - Territory Associate","None","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","Lots of flexibility in hours, great products to sell.","Many reps in the field, so if you plan to go to head office, there is high internal competition.","None",4.0,5.0,5.0,3.0,4.0,3.0,"Wed Jan 08 2020 04:55:05 GMT-0800 (Pacific Standard Time)"
"gsk","regulatoy","Former Employee - Anonymous Employee","None","None","None","None","I worked at GlaxoSmithKline full-time","extra knowledge, smart work place","Travelling time, HUGE  TRAFFIC, TRANSPORTATION","None",3.0,None,None,None,None,None,"Wed Jan 22 2020 09:47:36 GMT-0800 (Pacific Standard Time)"
"gsk","Good Place top work - but","Former Employee - Customer Business Manager","Warren, NJ","Recommends","Positive Outlook","Approves of CEO","I worked at GlaxoSmithKline full-time for more than 10 years","There is a lot of opportunity to build skill sets and they treat employees well","It is a big company with a lot of time spent on process which can make periods of time very tedious","None",5.0,3.0,4.0,5.0,4.0,4.0,"Mon Jan 06 2020 09:45:32 GMT-0800 (Pacific Standard Time)"
"gsk","A great place to work","Current Employee - Investigations Specialist","Collegeville, PA","Recommends","Neutral Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for less than a year","work life balance is great","upper management is sometimes slow with decisions","None",4.0,5.0,3.0,3.0,4.0,2.0,"Mon Jan 06 2020 07:01:44 GMT-0800 (Pacific Standard Time)"
"gsk","Hit and Miss","Current Employee - Sales Director","None","Doesn't Recommend","Negative Outlook","No Opinion of CEO","I have been working at GlaxoSmithKline full-time for more than 10 years","Great people in field roles, good products, great training","Awful leadership, promotions based on diversity metrics,","None",3.0,4.0,1.0,3.0,4.0,2.0,"Fri Jan 17 2020 17:57:30 GMT-0800 (Pacific Standard Time)"
"gsk","good Work culture","Current Employee - SAP FICO Consultant","Bangalore","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 5 years","good Work culture.Work life balance.","No negative points.No negative points","None",5.0,5.0,5.0,5.0,5.0,1.0,"Fri Jan 03 2020 17:37:56 GMT-0800 (Pacific Standard Time)"
"gsk","Good working environment affected by change of management","Former Employee - Brand Manager","Dubai","Recommends","Neutral Outlook","Approves of CEO","I worked at GlaxoSmithKline full-time for more than 3 years","Good working atmosphere and Helpful teams","Unclear priorities, political in management levels","None",3.0,4.0,3.0,3.0,4.0,2.0,"Sat Jan 18 2020 08:59:00 GMT-0800 (Pacific Standard Time)"
"gsk","great place to work and grow your career","Former Employee - Senior Scientist","None","Recommends","Positive Outlook","No Opinion of CEO","I worked at GlaxoSmithKline full-time for more than a year","Culture, teamwork, laboratory technology, focus","Salary is less and workload is higher than competitors","None",5.0,4.0,5.0,3.0,4.0,4.0,"Wed Jan 01 2020 17:54:29 GMT-0800 (Pacific Standard Time)"
"gsk","Good employer","Current Employee - Artwork Manager Emerging Markets Central","Istanbul","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 8 years","Good benefits package,  overall good working environment. Plenty of opportunities to grow.","Constant organizational changes that often times demotivate employees","None",4.0,4.0,5.0,4.0,4.0,4.0,"Sun Dec 29 2019 23:46:23 GMT-0800 (Pacific Standard Time)"
"gsk","Good employer","Current Employee - Artwork Manager Emerging Markets Central","Istanbul","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 8 years","Good benefits package,  overall good working environment. Plenty of opportunities to grow.","Constant organizational changes that often times demotivate employees","None",4.0,4.0,5.0,4.0,4.0,4.0,"Sun Dec 29 2019 23:46:23 GMT-0800 (Pacific Standard Time)"
"gsk","Medical Business Associate","Current Employee - Sales Representative","Jeypore","Recommends","Positive Outlook","None","I have been working at GlaxoSmithKline full-time for more than 8 years","Work life Balance,Pay and Training area are good.","Politics inside management and also affect the job of field staff.","None",4.0,4.0,4.0,3.0,4.0,1.0,"Mon Dec 30 2019 01:01:37 GMT-0800 (Pacific Standard Time)"
"gsk","Great Culture","Current Employee - Anonymous Employee","None","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time","The best culture, Flexi work hours, early Fridays and awesome brands to work with.","Usual Global business pressures","None",4.0,5.0,5.0,3.0,4.0,4.0,"Sat Dec 28 2019 13:58:24 GMT-0800 (Pacific Standard Time)"
"gsk","Good","Current Employee - Medical Sales Representative","Ho Chi Minh City","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for less than a year","Good working environment, easy interview","low basic salary, low bonus","None",5.0,5.0,5.0,5.0,5.0,5.0,"Tue Dec 24 2019 02:15:14 GMT-0800 (Pacific Standard Time)"
"gsk","GSK SAP Consultant","Current Employee - SAP Consultant","None","Doesn't Recommend","Negative Outlook","Disapproves of CEO","I have been working at GlaxoSmithKline full-time for more than a year","Opportunity to move to various GSK locations around the globe","Loads of politics and no learning at all","None",3.0,3.0,3.0,2.0,2.0,None,"Mon Jan 06 2020 16:05:03 GMT-0800 (Pacific Standard Time)"
"gsk","Awesome","Former Employee - Sales Officer Trainee","South Goa","Recommends","Positive Outlook","Approves of CEO","I worked at GlaxoSmithKline full-time for more than 3 years","Work life balance is good","Nothing till the time i worked there.. totally fine","None",4.0,4.0,4.0,4.0,4.0,4.0,"Sun Dec 22 2019 22:30:58 GMT-0800 (Pacific Standard Time)"
"gsk","Review of my experience as a GSK employee","Current Employee - Associate Scientist","King of Prussia, PA","Recommends","Neutral Outlook","No Opinion of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","Great work/life balance. Non stressful environment. Amazing benefits.","Unclear growth opportunity. Pay could be better","None",4.0,5.0,4.0,3.0,3.0,4.0,"Fri Dec 20 2019 15:40:04 GMT-0800 (Pacific Standard Time)"
"gsk","Great workplace","Former Employee - MSL","None","Recommends","Positive Outlook","Approves of CEO","I worked at GlaxoSmithKline full-time for more than 3 years","Opportunities for personal and professional development","Big multinational with fixed structures","None",5.0,5.0,5.0,5.0,4.0,4.0,"Wed Dec 18 2019 22:43:54 GMT-0800 (Pacific Standard Time)"
"gsk","R&amp;D Operations Team Leader","Former Employee - Anonymous Employee","None","None","None","None","I worked at GlaxoSmithKline full-time","Positive working environment and people are dedicated and committed","Difficult to make quick changes due to complex systems.","None",4.0,4.0,4.0,4.0,4.0,4.0,"Tue Dec 17 2019 14:26:36 GMT-0800 (Pacific Standard Time)"
"gsk","Best Ethical pharma","Current Employee - Senior Assistant Manager","Mumbai","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 10 years","Best in class in pharma","Nothing to say about cons","None",5.0,5.0,5.0,5.0,5.0,5.0,"Mon Dec 16 2019 09:41:16 GMT-0800 (Pacific Standard Time)"
"gsk","Strong Development","Former Employee - Sales Manager","None","None","None","None","I worked at GlaxoSmithKline full-time","Develop employees effectively to lead.","Heavy focus on metrics and KPIs","None",4.0,None,None,None,None,None,"Mon Dec 16 2019 07:43:33 GMT-0800 (Pacific Standard Time)"
"gsk","Pharmaceutical planner for both Kenya and East Africa.","Former Employee - Supply Planner","Nairobi","Recommends","Positive Outlook","Approves of CEO","I worked at GlaxoSmithKline full-time for more than a year","A good working environment and employer","Then restructuring are negatively impacting people lives.","None",5.0,5.0,5.0,3.0,5.0,5.0,"Sun Dec 15 2019 04:12:37 GMT-0800 (Pacific Standard Time)"
"gsk","finance business partner","Former Employee - Anonymous Employee","None","Recommends","Neutral Outlook","No Opinion of CEO","I worked at GlaxoSmithKline full-time for less than a year","high internal visibility, external opportunities in other pharma companies","not a managerial role, poor non-cash  benefits","None",4.0,3.0,3.0,3.0,3.0,2.0,"Sun Dec 15 2019 02:39:16 GMT-0800 (Pacific Standard Time)"
"gsk","Good work environment and benefits","Current Employee - Scientific Investigator","None","Recommends","Positive Outlook","None","I have been working at GlaxoSmithKline full-time","benefits, work environment, salary, development","location, location, location, location, location,","None",4.0,4.0,4.0,4.0,4.0,4.0,"Fri Dec 13 2019 13:39:52 GMT-0800 (Pacific Standard Time)"
"gsk","Corp office","Current Employee - Anonymous Employee","None","None","Negative Outlook","None","I have been working at GlaxoSmithKline full-time","Good benefit and mostly there's a certain level of respect amongst people.","No progress  without connections.","None",4.0,5.0,4.0,3.0,4.0,3.0,"Sat Dec 14 2019 05:53:20 GMT-0800 (Pacific Standard Time)"
"gsk","GSK is best place to work","Former Employee - Sales Manager","Islamabad, Islamabad","Recommends","Positive Outlook","Approves of CEO","I worked at GlaxoSmithKline full-time for more than 10 years","Overall policies and environment is conducive","engagement level is high and stress at workplace","None",4.0,2.0,5.0,4.0,3.0,3.0,"Wed Dec 11 2019 23:51:16 GMT-0800 (Pacific Standard Time)"
"gsk","Good people","Current Employee - Vice President Operations","Philadelphia, PA","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 10 years","Good people and solid company to work for.","Decision making can be slow.","None",4.0,5.0,4.0,4.0,4.0,3.0,"Thu Dec 12 2019 11:41:27 GMT-0800 (Pacific Standard Time)"
"gsk","Working in GSK KZ","Former Employee - Intern","Almaty","Recommends","None","None","I worked at GlaxoSmithKline part-time for more than a year","Friendly environment, competitive salary, written stadards (clear and comprehensive)","Low turnover, no growth, my job included sequence of alike technical actions","None",5.0,5.0,3.0,4.0,None,None,"Wed Dec 11 2019 00:18:22 GMT-0800 (Pacific Standard Time)"
"gsk","Area Business Manager","Current Employee - Area Business Manager","Ahmedabad","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 10 years","Good Work Culture to build career","No such reasons for down side","None",5.0,4.0,4.0,4.0,4.0,4.0,"Wed Dec 11 2019 10:06:49 GMT-0800 (Pacific Standard Time)"
"gsk","Top employer","Current Employee - Project Manager","Wavre","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","Flexible working hours, recognition programmes, trainings, career opportunities, inclusive employer, live the values (respect, transparency, patient focus, integrity)","It's a complex work environment","None",5.0,5.0,5.0,5.0,5.0,5.0,"Tue Dec 10 2019 03:35:48 GMT-0800 (Pacific Standard Time)"
"gsk","Not the best environment","Former Employee - Medical Sales Representative","Cairo","Doesn't Recommend","Neutral Outlook","No Opinion of CEO","I worked at GlaxoSmithKline full-time for more than 3 years","Good income and benefits  and very good insurance policy","No transparency  And very stressful workplace","None",2.0,2.0,1.0,1.0,4.0,1.0,"Tue Dec 24 2019 15:49:08 GMT-0800 (Pacific Standard Time)"
"gsk","Great place to work","Current Employee - Financial Analyst","None","None","None","None","I have been working at GlaxoSmithKline full-time","Flexibility 
people who care
huge focus on development","too much emphasis on lean workforce and headcount","None",4.0,None,None,None,None,None,"Mon Dec 09 2019 15:53:29 GMT-0800 (Pacific Standard Time)"
"gsk","M","Current Employee - Anonymous Employee","None","Recommends","Positive Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time","The company has a great work culture.","The company is painfully slow in executing projects","None",4.0,5.0,5.0,4.0,3.0,4.0,"Mon Dec 09 2019 02:52:49 GMT-0800 (Pacific Standard Time)"
"gsk","salary packages","Current Employee - Sales Executive","Gaborone","Doesn't Recommend","Positive Outlook","None","I have been working at GlaxoSmithKline full-time for more than a year","wider platform, globally connected, accesible","No room for growth or development","None",1.0,2.0,1.0,1.0,1.0,2.0,"Mon Jan 13 2020 01:05:07 GMT-0800 (Pacific Standard Time)"
"gsk","Se","Current Employee - Anonymous Employee","None","None","None","None","I have been working at GlaxoSmithKline full-time","Best industry culture and salary.","Not any cons to working","None",5.0,5.0,5.0,5.0,5.0,5.0,"Sat Dec 07 2019 10:32:29 GMT-0800 (Pacific Standard Time)"
"gsk","Review","Current Employee - Anonymous Employee","None","Recommends","Positive Outlook","No Opinion of CEO","I have been working at GlaxoSmithKline full-time","1. Collaborative work environment.
2. Respect for people.
3. Learning and development","A risk averse organization to","None",5.0,5.0,5.0,4.0,4.0,4.0,"Mon Dec 02 2019 04:58:17 GMT-0800 (Pacific Standard Time)"
"gsk","GSK Employment","Current Employee - Engineer","Singapore","Recommends","Negative Outlook","Disapproves of CEO","I have been working at GlaxoSmithKline full-time for more than 3 years","Flexible and relaxing environment. Good culture, Friendly people","Low salary , Constant audits, Complex procedures","None",4.0,5.0,4.0,2.0,1.0,3.0,"Mon Dec 02 2019 07:56:38 GMT-0800 (Pacific Standard Time)"
"gsk","Good Place to Work but Change is Coming","Current Employee - Vice President","Philadelphia, PA","Recommends","Negative Outlook","Approves of CEO","I have been working at GlaxoSmithKline full-time for more than 5 years","GSK has good people that are committed to the company and patients.  Emma and Hal seem to have the Company pointed in the right direction and the pipeline is slowly filling.  Jack Bailey has been an incredibly strong leader and led the US through 5 very successful years.","The next several years will certainly be tough, especially for those who have been traditionally focused on Primary Care.","None",3.0,3.0,4.0,2.0,3.0,2.0,"Sun Dec 15 2019 05:34:10 GMT-0800 (Pacific Standard Time)"
"gsk","Pros and Cons","Former Employee - Regulatory Affairs Specialist","Bangalore","Recommends","Positive Outlook","Approves of CEO","I worked at GlaxoSmithKline full-time for more than a year","1. Value Based Company
2. Team was amazing.
3. Management is very efficient and helpful","1. No proper management for documents, salaries, exit interviews while you leave the job.","None",5.0,5.0,5.0,5.0,5.0,5.0,"Thu Nov 28 2019 01:01:52 GMT-0800 (Pacific Standard Time)"
